id,species,observed_on,place,user
3049517,Broad-leaved Dock,2016-04-27,"Rutgers University Cook-Douglass Campus, New Brunswick, NJ, US",vcusimano
3050226,Thyme-leaved Speedwell,2016-04-27,"Rutgers University Cook-Douglass Campus, New Brunswick, NJ, US",vcusimano
3050215,Ground Ivy,2016-04-27,"Rutgers University Cook-Douglass Campus, New Brunswick, NJ, US",vcusimano
3045085,Mallard,2016-04-27,"Rutgers University Cook-Douglass Campus, New Brunswick, NJ, US",vcusimano
3044773,Amur Honeysuckle,2016-04-27,"Rutgers University Cook-Douglass Campus, New Brunswick, NJ, US",vcusimano
3047576,Dicots,2016-04-24,"Ocean County, US-NJ, US",vcusimano
3024494,Common Dandelion,2016-04-24,"666 Cedar Ln, Eagleswood, NJ, US",vcusimano
3024491,Pearl Crescent,2016-04-24,"08092, Eagleswood, NJ, US",vcusimano
3050462,Common Reed,2016-04-24,"607–621 Cedar Ln, Eagleswood, NJ, US",vcusimano
3050223,Agaricomycetes,2016-04-24,"08092, Eagleswood, NJ, US",vcusimano
