id,common_name,observed_on,place_guess,location,quality_grade,annotation_summary,ofvs,tags,url
268372598,Atlantic Blue Crab,2024-06-03 09:00:00-04:00,"Garden State Parkway S, Tuckerton, NJ, US","[39.5939975348, -74.4436834495]",research,,[],[],https://www.inaturalist.org/observations/268372598
261626690,Atlantic Blue Crab,2024-08-10 10:06:00-04:00,"Lower Township, NJ, USA","[38.9582026057, -74.9643337713]",research,,[],[],https://www.inaturalist.org/observations/261626690
260558911,Atlantic Blue Crab,2024-08-22 19:15:08-04:00,"North Atlantic Ocean, NJ, US","[40.4757320233, -73.9932153308]",research,,[],[],https://www.inaturalist.org/observations/260558911
258516934,Atlantic Blue Crab,2024-12-27 12:53:48-05:00,"Villas, NJ 08251, USA","[39.0503404997, -74.9273814997]",research,,[],[],https://www.inaturalist.org/observations/258516934
258516900,Atlantic Blue Crab,2024-12-27 12:52:16-05:00,"Middle Township, NJ, USA","[39.0507624, -74.927402]",research,,[],[],https://www.inaturalist.org/observations/258516900
258313033,Atlantic Blue Crab,2024-12-30 11:42:00-05:00,"Barnegat Light, NJ, USA","[39.7590972222, -74.1031277778]",research,Alive or Dead: Dead,[],[],https://www.inaturalist.org/observations/258313033
254861312,Atlantic Blue Crab,2024-09-11 14:23:00-04:00,"Cape May County, NJ, USA","[39.0335346, -74.7701902]",research,,[],[],https://www.inaturalist.org/observations/254861312
254576921,Atlantic Blue Crab,2024-09-10 15:09:00-04:00,"Little Egg Harbor Township, NJ, USA","[39.509629, -74.3219907]",research,,[],[],https://www.inaturalist.org/observations/254576921
254567849,Atlantic Blue Crab,2024-09-10 15:02:00-04:00,"Little Egg Harbor Township, NJ, USA","[39.5085062, -74.3230584]",research,,[],[],https://www.inaturalist.org/observations/254567849
254567815,Atlantic Blue Crab,2024-09-10 14:55:00-04:00,"Little Egg Harbor Township, NJ, USA","[39.508664, -74.3220222]",research,,[],[],https://www.inaturalist.org/observations/254567815
254560890,Atlantic Blue Crab,2024-09-10 14:22:00-04:00,"Little Egg Harbor Township, NJ, USA","[39.5089542999, -74.3194747]",research,,[],[],https://www.inaturalist.org/observations/254560890
254555871,Atlantic Blue Crab,2024-09-10 12:29:00-04:00,"Little Egg Harbor Township, NJ, USA","[39.5522383, -74.3361237]",research,,[],[],https://www.inaturalist.org/observations/254555871
254551322,Atlantic Blue Crab,2024-09-10 12:09:00-04:00,"Little Egg Harbor Township, NJ, USA","[39.567138, -74.3424093]",research,,[],[],https://www.inaturalist.org/observations/254551322
254441099,Atlantic Blue Crab,2024-12-07 16:36:52-05:00,"New Jersey, US","[40.4406699519, -74.3958160182]",research,,[],[],https://www.inaturalist.org/observations/254441099
254026521,Atlantic Blue Crab,2024-06-09 08:22:38-04:00,"Sedge Islands, Seaside Heights, NJ, US","[39.94623, -74.0793695]",research,,[],[],https://www.inaturalist.org/observations/254026521
252909821,Atlantic Blue Crab,2024-11-05 10:03:00-05:00,"Point Pleasant Beach, NJ 08742, USA","[40.101584139, -74.0489874033]",research,,[],"['Animal', 'Atlantic blue crab', 'beneath the sea', 'beneath the surface', 'Blue Crab', 'callinectes sapidus', 'conservation', 'conserve nature', 'conserve wildlife', 'Crab', 'environment', 'Environmental', 'keep our air clean', 'marine life', 'Nature', 'nature photography', 'nj crab', 'nj marine life', 'nj nature', 'nj ocean life', 'nj sea life', 'nj swimming crab', 'nj underwater', 'nj wildlife', 'ocean life', 'outdoor', 'outdoor photography', 'protect nature', 'protect our environment', 'protect wildlife', 'Sea life', 'Swimming Crab', 'under the sea', 'Underwater', 'underwater nj', 'underwater photography', 'wildlife', 'wildlife photography']",https://www.inaturalist.org/observations/252909821
252803828,Atlantic Blue Crab,2024-09-27 15:18:00-04:00,"Point Pleasant Beach, NJ 08742, USA","[40.1010050284, -74.0489039391]",research,,[],"['Animal', 'Atlantic blue crab', 'beneath the sea', 'beneath the surface', 'Blue Crab', 'callinectes sapidus', 'conservation', 'conserve nature', 'conserve wildlife', 'Crab', 'environment', 'Environmental', 'keep our air clean', 'marine life', 'Nature', 'nature photography', 'nj crab', 'nj marine life', 'nj nature', 'nj ocean life', 'nj sea life', 'nj underwater', 'nj wildlife', 'ocean life', 'outdoor', 'outdoor photography', 'protect nature', 'protect our environment', 'protect wildlife', 'Sea life', 'under the sea', 'Underwater', 'underwater nj', 'underwater photography', 'wildlife', 'wildlife photography']",https://www.inaturalist.org/observations/252803828
252779343,Atlantic Blue Crab,2024-09-16 17:22:00-04:00,"Belmar, NJ, USA","[40.1799917431, -74.0374457008]",research,,[],"['Animal', 'Atlantic blue crab', 'beneath the sea', 'beneath the surface', 'Blue Crab', 'callinectes sapidus', 'conservation', 'conserve nature', 'conserve wildlife', 'Crab', 'environment', 'Environmental', 'keep our air clean', 'marine life', 'Nature', 'nature photography', 'nj marine life', 'nj nature', 'nj ocean life', 'nj sea life', 'nj underwater', 'nj wildlife', 'ocean life', 'outdoor', 'outdoor photography', 'protect nature', 'protect our environment', 'protect wildlife', 'Sea life', 'Swimming Crab', 'under the sea', 'Underwater', 'underwater nj', 'underwater photography', 'wildlife', 'wildlife photography']",https://www.inaturalist.org/observations/252779343
251733283,Atlantic Blue Crab,2024-11-14 13:48:48-05:00,"Barnegat Light, NJ, USA","[39.7643673997, -74.1063628997]",research,,[],[],https://www.inaturalist.org/observations/251733283
251732882,Atlantic Blue Crab,2024-11-14 13:55:27-05:00,"Barnegat Light, NJ, USA","[39.7644937, -74.1061332997]",research,,[],[],https://www.inaturalist.org/observations/251732882
251389977,Atlantic Blue Crab,2024-11-09 19:12:12-05:00,United States,"[40.1856134069, -74.080898786]",research,,[],[],https://www.inaturalist.org/observations/251389977
251389048,Atlantic Blue Crab,2024-11-09 18:26:25-05:00,"Sea Girt, NJ 08750, USA","[40.1384302, -74.0275634997]",research,,[],[],https://www.inaturalist.org/observations/251389048
250490587,Atlantic Blue Crab,2024-11-04 16:26:20-05:00,"Raritan Bay, Keansburg, NJ, US","[40.45463, -74.17273]",research,,[],[],https://www.inaturalist.org/observations/250490587
249944857,Atlantic Blue Crab,2024-10-26 12:01:57-04:00,"Port Republic, NJ, USA","[39.5179213997, -74.496458]",research,,[],[],https://www.inaturalist.org/observations/249944857
247713308,Atlantic Blue Crab,2024-10-16 16:19:58-04:00,"Raritan River, New Brunswick, NJ, US","[40.50528, -74.4456416667]",research,,[],[],https://www.inaturalist.org/observations/247713308
247713286,Atlantic Blue Crab,2024-10-16 16:20:48-04:00,"Raritan River, Highland Park, NJ, US","[40.5052533333, -74.445555]",research,,[],[],https://www.inaturalist.org/observations/247713286
247704969,Atlantic Blue Crab,2024-10-16 12:30:36-04:00,"Harvey Cedars, NJ 08008, USA","[39.6948849997, -74.1429413997]",research,,[],[],https://www.inaturalist.org/observations/247704969
247204657,Atlantic Blue Crab,2024-10-12 11:52:00-04:00,"Lower Township, NJ, USA","[38.9395187938, -74.9532121787]",research,,[],[],https://www.inaturalist.org/observations/247204657
247173017,Atlantic Blue Crab,2024-10-13 10:46:37-04:00,"Jersey City, NJ 07305, USA","[40.6954174333, -74.0673565865]",research,,[],[],https://www.inaturalist.org/observations/247173017
246854705,Atlantic Blue Crab,2024-10-09 16:35:11-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US","[40.4048583333, -73.9798133333]",research,,[],[],https://www.inaturalist.org/observations/246854705
246854008,Atlantic Blue Crab,2024-10-09 16:00:57-04:00,"Shrewsbury Ave, Highlands, NJ, US","[40.40263, -73.983375]",research,,[],[],https://www.inaturalist.org/observations/246854008
246825242,Atlantic Blue Crab,2024-10-11 16:31:54-04:00,"W3WJ+WF, Alpine, NJ 07624, USA","[40.9470888889, -73.9185694444]",research,"Life Stage: Adult, Alive or Dead: Dead",[],[],https://www.inaturalist.org/observations/246825242
246685808,Atlantic Blue Crab,2024-10-10 14:52:04-04:00,"Laurence Harbor, Old Bridge, NJ, USA","[40.4591927, -74.2466948997]",research,,[],[],https://www.inaturalist.org/observations/246685808
