id,common_name,observed_on,place_guess,location,quality_grade,annotation_summary,ofvs,tags,url
258609826,Eastern Mudsnail,2024-12-30 11:51:11-05:00,"Cape May County, NJ, USA","[39.0348433997, -74.7687138997]",research,,[],[],https://www.inaturalist.org/observations/258609826
256978225,Eastern Mudsnail,2024-06-03 06:45:00-04:00,"Cape May, NJ 08204, USA","[38.945449944, -74.8991819415]",research,,[],[],https://www.inaturalist.org/observations/256978225
256660746,Eastern Mudsnail,2024-12-29 13:07:15-05:00,"Gateway National Recreation Area, Highlands, NJ, US","[40.4482716667, -73.99733]",research,,[],[],https://www.inaturalist.org/observations/256660746
251824196,Eastern Mudsnail,2024-11-14,Beach Haven,"[39.5592818643, -74.2431961745]",research,,[],[],https://www.inaturalist.org/observations/251824196
251242950,Eastern Mudsnail,2024-11-03 15:10:40-05:00,"Jersey City, NJ 07305, USA","[40.6951141698, -74.0690088272]",research,,[],[],https://www.inaturalist.org/observations/251242950
250482639,Eastern Mudsnail,2024-11-04 14:22:41-05:00,"Upper New York Bay, Jersey City, NJ, US","[40.694375, -74.0653221667]",research,,[],[],https://www.inaturalist.org/observations/250482639
250482512,Eastern Mudsnail,2024-11-04 14:24:56-05:00,"Upper New York Bay, Jersey City, NJ, US","[40.6944383333, -74.0651945]",research,,[],[],https://www.inaturalist.org/observations/250482512
248122791,Eastern Mudsnail,2024-10-19 13:49:18-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US","[40.404775, -73.97905]",research,Alive or Dead: Alive,[],[],https://www.inaturalist.org/observations/248122791
248084689,Eastern Mudsnail,2024-10-19 11:35:47-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US","[40.4071212408, -73.9757484676]",research,Alive or Dead: Dead,[],[],https://www.inaturalist.org/observations/248084689
248067506,Eastern Mudsnail,2024-10-19 09:46:22-04:00,"Atlantic City, NJ 08401, USA","[39.3572375253, -74.420889169]",research,Alive or Dead: Dead,[],[],https://www.inaturalist.org/observations/248067506
247832416,Eastern Mudsnail,2024-10-17 17:27:25-04:00,Beach Haven,"[39.5592818643, -74.2431961745]",research,Alive or Dead: Dead,[],[],https://www.inaturalist.org/observations/247832416
247832154,Eastern Mudsnail,2024-10-17 17:28:10-04:00,Beach Haven,"[39.5592818643, -74.2431961745]",research,Alive or Dead: Dead,[],[],https://www.inaturalist.org/observations/247832154
247827890,Eastern Mudsnail,2024-10-17 17:29:11-04:00,"Beach Haven, NJ 08008, USA","[39.5592795379, -74.2431961745]",research,,[],[],https://www.inaturalist.org/observations/247827890
247778322,Eastern Mudsnail,2024-10-16 11:45:00-04:00,"Beach Haven, NJ 08008, USA","[39.5580404369, -74.2389583]",research,Alive or Dead: Dead,[],[],https://www.inaturalist.org/observations/247778322
247030728,Eastern Mudsnail,2024-10-12 12:00:55-04:00,"Upper Township, NJ, USA","[39.2068435997, -74.6568649997]",research,Alive or Dead: Alive,[],[],https://www.inaturalist.org/observations/247030728
247030127,Eastern Mudsnail,2024-10-12 11:55:07-04:00,"Ocean City, NJ 08226, USA","[39.2067327997, -74.6569728]",research,Alive or Dead: Alive,[],[],https://www.inaturalist.org/observations/247030127
246853950,Eastern Mudsnail,2024-10-09 09:51:32-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US","[40.425155849, -73.9845624359]",research,,[],[],https://www.inaturalist.org/observations/246853950
246684542,Eastern Mudsnail,2024-10-10 12:25:34-04:00,"Keansburg, NJ, USA","[40.4555198997, -74.1736652]",research,,[],[],https://www.inaturalist.org/observations/246684542
246683252,Eastern Mudsnail,2024-10-09 16:53:40-04:00,"Sandy Hook, Middletown Township, NJ, USA","[40.4048402997, -73.9793039997]",research,Alive or Dead: Dead,[],[],https://www.inaturalist.org/observations/246683252
246562925,Eastern Mudsnail,2024-10-09 16:49:41-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US","[40.40817, -73.980575]",research,,[],[],https://www.inaturalist.org/observations/246562925
246562692,Eastern Mudsnail,2024-10-09 17:18:08-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US","[40.4078883333, -73.980675]",research,,[],[],https://www.inaturalist.org/observations/246562692
246072318,Eastern Mudsnail,2024-10-06 15:25:22-04:00,"Lighthouse Rd, Heislerville, NJ, US","[39.1966633333, -75.0277861667]",research,,[],[],https://www.inaturalist.org/observations/246072318
246072267,Eastern Mudsnail,2024-10-06 15:24:31-04:00,"Lighthouse Rd, Heislerville, NJ, US","[39.1966583333, -75.0278555]",research,,[],[],https://www.inaturalist.org/observations/246072267
244060289,Eastern Mudsnail,2024-09-22 10:46:07-04:00,"Little Egg Harbor Township, NJ 08087, USA","[39.5389934, -74.3257351]",research,Alive or Dead: Cannot Be Determined,[],[],https://www.inaturalist.org/observations/244060289
242715039,Eastern Mudsnail,2024-09-19 13:43:15-04:00,"Cape Island Creek, Cape May, NJ, US","[38.9494353038, -74.9140913385]",research,Alive or Dead: Cannot Be Determined,[],[],https://www.inaturalist.org/observations/242715039
